團,LGJF
圞,LXYS
土,FFFF
圜,LLGE
園,LFKE
圓,|||||
圖,LKFK
圊,LGED
國,|||||
圈,LUDB
圉,LFUF
圌,LMDJ
圍,LNHH
圃,LGEY
圆,LKMI
圇,LWGA
圄,LGKD
圅,CLUF
场,FNRT
圻,FRH
镔,QPRW
圹,FYT
圾,FEYY
圳,FKH
地,FBN
圪,FTNN
在,DHFD
圩,FGFH
圮,FNN
圯,FNN
圬,FFNN
圭,FFF
圣,CFF
棰,STGF
棱,SFWT
棲,SGVV
亂,ECMN
棵,SJSY
棶,SSWW
了,BNH
争,QVHJ
予,CBJ
棺,SPNN
棻,AWVS
棼,SSWV
二,FGG
亏,FNV
于,|||||
云,FCU
亓,FJJ
互,GXGD
井,FJK
五,|||||
棧,SAAT
亙,GHNG
亘,GJGF
些,HXFF
亚,GOGD
棬,SUDB
亜,GKJG
亟,BKCG
棯,SWYN
亡,YNV
棑,SDJD
棒,SDWH
棓,SUKG
亥,YNTW
棕,SPFI
产,UTE
棗,GMII
棘,GMII
亨,YBJ
享,YBF
亭,YPSJ
京,YIU
亮,YPMB
检,SWGI
棁,SUKQ
棂,SVOY
亲,USU
棄,YCAS
亷,UTVO
亶,YLKG
亹,YWFG
棉,SRMH
人,WWWW
棍,SJXX
亿,WNN
浒,IYTF
酿,SGYE
浑,IPLH
酱,UQSG
毽,TFNP
酵,SGFB
浛,IWYK
酶,SGTU
浆,UQIU
浅,|||||
酬,SGYH
酮,SGMK
济,IYJH
浍,IWFC
浊,IJY
测,|||||
酧,SGPF
酗,SGQB
酉,SGD
棹,SHJH
事,GKVH
酌,SGQY
蓂,APJU
蓀,ABTI
蓁,ADWT
蓆,AYAH
蓇,AMEF
蓄,AYXL
蓊,AWCN
蓋,AFCL
蓈,AYVB
蓉,APWK
蓍,AFTJ
蓓,AWUK
蓐,ADFF
蓑,AYKE
蓖,ATLX
蓟,AQGJ
蓝,AJTL
蓣,ACBM
蓠,AYBC
蓦,AJDC
蓤,AUFT
蓥,APQF
蓮,ALPU
蓯,ATWH
蓬,ATDP
蓳,|||||
蓰,ATHH
棣,SVIY
蓴,AGJF
浩,ITFK
蓿,APWJ
蓼,ANWE
蓽,AJAF
有,DEF
月,|||||
朋,EEG
朊,EFQN
服,EBCY
最,JBCU
會,WGLJ
望,YNEG
朝,FJEG
期,ADWE
朐,|||||
朕,|||||
棪,SOOY
朗,YVCE
木,SSSS
末,GSI
未,FII
札,SNN
本,SGD
术,SYI
朮,FQYI
亝,CCCF
朢,AHNG
朧,EUED
朦,EAPE
朹,SVN
机,SMN
朽,SGNN
森,SSSU
朱,RII
朳,SWY
亞,GHGG
朵,MSU
朴,SHY
朶,ESU
亢,YMB
交,UQU
棖,SDEY
亦,|||||
亩,YLF
棚,SEEG
砼,DWAG
砾,DQIY
砸,DAMH
砹,DAQY
砺,DDDN
砻,DXDF
破,DHCY
砵,DSGG
砷,DJHH
砰,DGUH
砬,DUG
砭,DTPY
砩,DXJH
砤,DTBN
砥,DQAY
砦,HXDF
棟,SGJI
砣,DPXN
砜,DMQY
砝,DFCY
砟,|||||
砘,DGBN
砚,DMQN
研,DGAH
砖,DFNY
砗,DLH
亳,YPTA
砒,DXXN
砌,DAVN
砍,DQWY
棃,TQTS
砉,DHDF
亵,YRVE
砀,|||||
码,DCG
砂,DITT
髲,DEHC
髰,DEAN
髻,DEFK
髹,DEWS
髽,DEWF
髡,DEGQ
髠,DEMB
髦,DETN
髥,DEMF
亸,YBUF
髫,DEVK
髨,DEFQ
髯,DEMF
髭,DEHX
递,UXHP
髓,|||||
髒,MEAA
髑,MELJ
棋,SADW
髖,MEPY
髕,MEPM
髙,YJFK
高,YMKF
髟,DET
髃,MEJY
髂,MEPK
髁,MEJS
髀,MERF
髅,MEOV
髋,MEPQ
髊,MEUA
髈,MEUY
髏,MEKV
髎,MENE
髌,MEPW
巋,MWNH
巉,MQKY
巍,MTVC
巀,MIWA
巇,MHAA
巅,MFHM
巛,VNNN
州,YTYH
川,|||||
巓,MXHM
巒,XYXM
巗,|||||
巖,|||||
巫,AWWI
巩,AMYY
巨,AND
巯,CAYQ
差,UDAF
巢,VJSU
巡,VPV
巧,AGNN
左,DAF
工,AAAA
巻,UDNB
巾,MHK
巽,NNAW
巳,NNGN
已,|||||
己,NNGN
巰,GVAQ
巷,AWNB
巵,RGCV
巴,CNHN
燕,AUKO
燔,OTOL
燐,OOQH
燒,|||||
燜,OUNY
營,OOPK
燙,IJGO
燚,OOOO
燄,QVOO
燁,OAGF
燀,OKKF
燃,|||||
逖,QTOP
燎,ODUI
燉,OYBT
燈,OWGU
燊,OOOS
燴,OWGJ
燼,OVHL
燿,ONWY
燾,FNAO
燹,EEOU
燥,OKKS
燧,OUEP
燦,OHQO
燠,OTMD
燭,OLQJ
燮,OYOC
燨,OUGT
齑,YDJJ
斬,LRH
逕,GVAP
斡,FJWF
齇,THLG
這,YPD
逞,KGPD
齲,HWWY
斉,YJFF
齶,HWWN
文,YYGY
閆,UDD
門,UHNG
訶,YSKG
閂,UGD
閃,UWI
註,|||||
診,YWET
閎,UDCI
閏,UGD
訾,HXYF
開,|||||
訣,YNWY
訢,YRH
閑,USI
閒,UED
訪,YYN
訩,YQBH
閟,UNTE
閘,ULK
閙,UYMH
訓,YKH
閥,UWAE
訑,YBN
訐,YFH
訖,YTNN
関,UUDI
閣,UTKD
閬,UYVE
閭,UKKD
記,YNN
訟,YWCY
閩,UJI
訝,YAHT
閫,|||||
閴,UMI
訂,YSH
閶,|||||
言,YYYY
訇,QYD
閲,UUKQ
閼,UYWU
閽,UQAJ
閾,|||||
計,YFH
訏,YGFH
閹,UDJN
訌,YAG
齩,HWWQ
欺,ADWW
斒,YYNA
蕆,ADMT
蕀,AGMI
蕁,|||||
蕃,ATOL
蕎,ATDK
蕈,ASJJ
蕉,AWYO
蕊,ANNN
蕋,AHHH
蕕,AQTG
蕖,AIAS
蕗,AKHK
蕒,ALMU
蕞,AJBC
蕘,AFFQ
蕙,AGJN
蕚,AKKN
蕤,AETG
蕧,ATTT
蕡,AFAM
蕢,AKHM
蕭,AVHH
蕨,ADUW
蕩,AIJR
蕪,|||||
蕫,AUJF
蕴,AXJL
蕷,ACBM
蕰,AIJL
蕱,ATIE
蕲,AUJR
蕾,AFLF
蕿,AOEC
蕸,ANHP
蕹,AYXY
蕺,AKBT
蕻,ADAW
嚙,KHWB
颉,FKDM
嚕,KQOJ
嚐,KIPJ
慤,FPMN
嚓,KPWI
嚌,KYVF
嚎,KYPE
嚏,KFPH
嚅,KFDJ
嚆,KAYK
嚇,|||||
嚀,KPNS
邁,AJMP
颍,XIDM
嚼,KELF
嚻,KKDK
嚴,KKDT
嚶,KMMV
嚷,KYKE
嚳,WFQK
颀,RDMY
嚯,KFWY
嚨,|||||
嚪,KUQV
嚦,KDTH
嚢,GKHE
嚣,KKDK
桺,SGAN
预,CBDM
桶,SCEH
桷,SQEH
桴,|||||
颅,HNDM
桫,SIIT
桨,UQSU
桩,SYFG
桮,SGIK
慨,NVCQ
桢,SHMY
档,SIVG
桠,SGOG
桡,SATQ
桦,SWXF
桧,SWFC
桤,SMNN
桥,STDJ
题,JGHM
桝,SQAH
桓,SGJG
桐,SMGK
桑,CCCS
慴,NNRG
桔,SFKG
桕,SVG
桊,UDSU
案,PVSU
颛,MDMM
桎,SGCF
桌,HJSU
桂,SFFG
桃,SIQN
桀,QAHS
桁,STFH
框,SAGG
桄,SIQN
慳,NAHF
慰,NFIN
慾,WWKN
挤,RYJH
驵,CEGG
驴,|||||
驷,CLG
驶,CKQY
驱,CAQY
驰,CBN
驳,CQQY
碁,ADWD
驽,VCCF
驼,CPXN
碌,DVIY
碍,DJGF
驹,CQKG
驸,CWFY
驻,CYGG
碉,DMFK
驥,CUXW
驤,CYKE
碓,DWYG
碑,DRTF
驭,CCY
马,CNNG
驯,CKH
驮,CDY
驩,CAKY
碛,DGMY
驫,CCCU
驪,|||||
驕,CTDK
碧,GRDF
驗,|||||
碥,DYNA
碣,DJQN
碡,DGXU
驟,CBCI
碭,DJGR
碪,DADN
驘,YNKY
驛,CLFF
驚,AQKC
驅,CAKK
颠,FHWM
碴,|||||
驁,GQTC
碳,DMDO
驃,CSFI
驂,CCCE
驍,|||||
碼,DCY
驎,COQH
確,DPWY
碻,DYMK
碸,DMTJ
驊,CAGF
钉,QSH
颤,YLKM
颥,FDMM
颦,HIDF
慉,NYXL
慘,NCCE
悒,NKCN
轧,LNN
悗,NQKQ
悖,NFPB
悔,NTXU
悛,NCWT
悚,NGKI
悟,NGKG
跬,KHFF
悝,NJFG
悃,NLSY
抚,RFQN
悄,NIEG
跪,KHQB
悉,TONU
悍,NJFH
悌,NUXT
悲,DJDN
悱,NDJD
悶,UNI
悵,|||||
悴,NYWF
悻,NFUF
悸,NTBG
悼,NHJH
患,KKHN
悠,WHTN
悦,NUKQ
悤,TLQN
悫,FPMN
您,WQIN
悯,NUYY
悭,NJCF
悬,EGCN
跥,KHES
闊,UITD
跡,KHYO
闔,UFCL
锎,QUGA
锏,QUJG
锌,QUH
锍,QYCQ
锊,QEFY
誰,YWYG
锈,QTEN
锉,QWWF
锆,QTFK
誼,YPEG
锄,QEGL
锅,QKMW
誹,|||||
锃,QKGG
销,QIEG
锁,QIMY
誥,YTFK
锟,QJXX
锜,QDSK
誦,YCEH
誡,YAAH
锛,QDFA
锘,QADK
错,QAJG
読,YFPQ
説,YUKQ
锔,QNNK
锕,QBSK
锒,QYVE
锓,QVPC
锐,QUKQ
锑,|||||
键,QVFP
锯,QNDG
锬,QOOY
關,UXXG
锪,QQRN
锫,QUKG
锨,QRQW
誒,YCTD
锦,QRMH
锤,QTGF
語,YGKG
锢,QLDG
锣,QLQY
锠,QJJG
跳,KHIQ
锾,QEFC
锿,QYEY
锼,QVHC
誆,YAGG
锺,QTGF
锻,QWDC
锸,QTFV
锹,QTOY
锶,QLNY
锷,QKKN
锴,QXXR
锵,|||||
锲,QDHD
锰,QBLG
誊,UDYF
闥,UFUP
铴,QINR
跆,KHCK
鄭,USGB
跄,KHWB
嵌,MAFW
嵋,MNHG
嵊,MTUX
嵇,TDNM
跃,KHTD
嵝,MOVG
嵘,MAPS
嵛,MWGJ
嵚,MQQW
嵗,MDGT
嵖,MSJG
嵐,MMTJ
闷,UNI
嵯,MUDA
嵩,MYMK
嵫,MUXX
闶,UYMV
嵠,MEXD
溆,IWTC
间,UJD
溅,IMGT
闳,UDCI
闲,USI
灞,IFAE
灝,IJYM
灘,IAKY
灕,IYBY
灔,IMAC
灑,IGMX
灏,IJYM
闿,UMNV
灌,IAKY
灋,IYNC
跗,KHWF
灄,IBBB
灃,IDHU
灂,IELF
灿,OMH
灾,POU
災,VOU
灼,OQYY
溽,IDFF
灸,QYOU
灶,OFG
灵,VOU
溼,IGXF
灰,|||||
灯,OSH
灭,GOI
火,OOOO
跐,KHHX
灨,IUJM
抖,RUFH
闸,ULK
灣,IXYX
溱,IDWT
嘧,KPNM
嘤,KMMV
嘢,KJFB
嘣,KMEE
嘮,KOOL
鄒,|||||
嘬,KJBC
嘭,KFKE
嘨,KVOJ
嘩,KAGF
嘶,KADR
嘴,KHXE
嘵,KFFQ
嘲,KFJE
嘰,KXXT
嘱,KNTY
嘿,KLFO
嘻,KFKK
嘹,KDUI
嘆,KAKW
嘀,KUMD
發,WXMC
嘎,KDHA
嘏,DNHC
嘌,KSFI
嘍,KKGV
嘈,KGMJ
嘉,FKUK
嘖,KGMY
嘗,IPKJ
嘔,KAKK
嘓,KLAG
嘑,KHAH
嘞,KAFL
嘟,KFTB
嘜,KSWT
嘛,KYSS
嘘,KHAG
槼,FWHS
槽,SGMJ
槿,SAKG
槻,SFWQ
饮,QNQW
槱,SSGO
槲,SQEF
槳,NHDS
槭,SDHT
槨,SYBB
槩,RXAS
槧,LRSU
槠,SYFJ
槟,SPRW
様,SUGI
槙,SFHW
槛,SJTL
鄂,KKFB
槐,SRQC
槑,KSKS
槓,SAMY
槌,SWNP
槍,SWYK
槎,SUDA
槈,SDFF
溥,IGEF
槊,UBTS
構,SFJF
槀,YMKS
槁,SYMK
槃,TEMS
釤,QET
癸,WGDU
暂,LRJF
塚 塚,|||||
铩,QQSY
橕,SIPT
猛,QTBL
藎,AVHL
藏,ADNT
藍,AAHL
藊,ATYA
藋,ANWY
藈,AHWD
藉,ADIJ
藄,AADI
藁,AYMS
藟,ALLL
藜,ATQI
藝,AFWC
蚜,JAHT
藕,ADIY
藓,AQGD
藐,AEEQ
藭,APWX
藪,AKGT
藨,AYNO
藩,AITL
藦,AYSR
藤,AEUI
藥,AXRS
藠,ARRR
藿,AFWY
藺,AUWY
藻,AIKS
藹,AYJN
藶,ADTH
藷,AYFJ
怕,NRG
怔,NGHG
怖,NDMH
怒,VCNU
思,LNU
怜,NWYC
怙,NDG
怛,NJGG
怅,NTAY
怄,NAQY
怆,NWBN
态,DYNU
怀,NGIY
怃,NFQN
怂,WWNU
怍,NTHF
怏,NMDY
怎,THFN
怊,|||||
怵,NSYY
怱,QRYN
怳,NKQN
怼,CFNU
怿,NCFH
总,UKNU
怺,NYNI
急,QVNU
性,NTGG
怦,NGUH
怡,NCKG
怠,CKNU
怯,NFCY
怩,NNXN
怨,QBNU
怫,NXJH
怪,NCFG
仄,|||||
饢,WYVE
仃,WSH
鯿,QOYA
鯽,QOVB
笋,TVTR
笏,TQRR
鯶,QOPL
鯵,QOCE
笃,TCF
笄,TGAJ
笆,TCB
鯰,|||||
笙,TTGF
笛,TMF
鯫,QOBC
鯪,QOFT
笞,TCKF
鯨,QOYI
鯧,QOJJ
笑,TTDU
鯤,|||||
笔,TTFN
鯢,QOVQ
鯡,QODD
笨,TSGF
笪,TJGF
帽,MHJH
鯛,QOMK
笮,TTHF
笠,TUF
鯖,QOGE
鯔,QOVL
笤,TVKF
笥,TNGK
符,TWFU
笸,TAKF
笹,TANB
笺,TGR
笼,TDXB
鯊,IITO
鯉,QOJF
鯇,QOPQ
笱,TQKF
笳,TLKF
鯁,QOGQ
鯀,QOTI
峒,MMGK
峙,MFFY
峄,MCFH
峁,MQTB
峋,MQJG
島,WVGM
峴,MHQN
峰,MTDH
峽,MDWW
峻,MCWT
峦,YOMJ
峥,MQVH
峤,MTDJ
峡,MGUW
峯,MTDH
峭,MIEG
峬,MGEY
峪,MWWK
峩,MTRT
峨,MTRT
烤,OFTN
烧,OATQ
烦,ODMY
烩,OWFC
烨,OWXF
烫,INRO
热,RVYO
烬,ONYU
烯,OQDH
烱,OMWK
烴,OGVA
烷,OPFQ
烹,YBOU
烺,OYVE
烽,OTDH
烁,OQIY
烀,OTUH
烃,OCAG
烂,OUFG
烈,GQJO
烊,OUDH
烏,WNGO
烖,FAOI
烙,OTKG
烘,OAWY
烛,OJY
烜,OGJG
烟,OLDY
錆,QGEG
靓,GEMQ
朔,UBTE
錇,QUKG
饧,QNNR
謿,YFJE
謾,YJLC
銓,QWGG
銕,QGXW
銖,QRIY
謷,GQTY
銚,QIQN
謳,YAKK
銀,QVEY
銃,QYCQ
謫,YUMD
銅,QMGK
謨,YAJD
謦,FNMY
銎,AMYQ
銱,QKMH
謝,YTMF
講,YFJF
謚,YUWL
謙,YUVO
銷,QIEG
謗,YUPY
銹,QTEN
謔,YHAG
銼,QWWF
銾,QAIY
謐,YNTL
銠,QFTX
謎,YOPY
謌,YSKK
銥,QYEY
銦,QLDY
謇,PFJY
銩,QTFC
謅,YQBT
謄,EUDY
銬,QFTN
謂,YLEG
謁,YJQN
謀,YAFS
憊,WATN
楂,SSJG
楊,SJGR
楗,SVFP
楔,SDHD
楓,|||||
楞,SLYN
楝,SGLI
楚,SSNH
楙,SCBS
楦,SPGG
楤,SQRN
楥,SEFC
楣,SNHG
楠,SFMF
楮,SFTJ
業,OGUW
非,|||||
楨,SHMY
楷,SXXR
極,SBKG
楳,SAFS
楱,SDWD
楼,|||||
楸,STOY
楹,SECL
艑,TEYA
艖,TEUA
艘,TEVC
艙,TEWK
艚,TEGJ
艟,TEUF
艄,TEIE
艇,TETP
艉,TENN
艋,TEBL
艏,TEUH
艰,CVEY
艱,AKFE
色,QCB
艳,DHQC
艴,XJQC
艷,DHDC
艸,BTBH
艹,AGHH
艺,ANB
艻,ALB
艽,AVB
艾,|||||
艿,AEB
艢,TEFK
艣,TEHL
艤,TEUT
艦,TEAL
艨,TEAE
艪,TEQJ
艫,TEHL
艮,VEI
良,YVEI
喪,FKKE
喫,KDHD
喬,TDKK
單,KKJF
喦,KKKM
喧,KPGG
喹,KDFF
喻,KWGJ
喽,KOVG
喾,IPTK
喿,KKKS
喱,KDJF
喲,KXQY
喳,KSJG
喵,KALG
喷,KFAM
喈,KXXR
喉,KWND
喊,KDGT
喋,KANS
喏,KADK
喀,KPTK
喁,KJMY
喂,KLGE
喃,KFMF
善,UDUK
喆,FKFK
喇,KGKJ
喘,KMDJ
喙,KXEY
喜,FKUK
喝,KJQN
喟,KLEG
喑,KUJG
喒,KTHJ
喔,KNGF
鼂,JGMV
宁,PSJ
它,PXB
宄,PVB
宅,PTAB
宇,PGFJ
守,PFU
安,PVF
宋,PSU
完,PFQB
宏,PDCU
宑,PFJJ
宓,|||||
宕,PDF
宗,PFIU
官,PNHN
宙,PMF
定,PGHU
宛,PQBB
宜,PEGF
宝,PGYU
实,PUDU
宠,PDXB
审,PJHJ
客,PTKF
宣,PGJG
室,PGCF
宥,PDEF
垒,CCCF
宪,PTFQ
宫,PKKF
宬,PDNT
宮,PKTK
宰,PUJ
害,PDHK
宴,PJVF
宵,PIEF
家,PEU
宸,PDFE
容,PWWK
宼,PFQV
宽,PAMQ
宾,PRGW
宿,PWDJ
箓,TVIU
箐,TGEF
算,THAJ
箔,TIRF
箕,TADW
箜,TPWA
箝,TRAF
简,TUJF
箇,TLDF
箄,TRTF
箅,TLGJ
箋,TAAR
箎,THAM
箍,TRAH
箲,TITQ
箱,TSHF
箴,TDGT
箸,TFTJ
箢,TPQB
箣,TGMJ
箠,TTGF
管,TPNN
箦,TGMU
箧,TAGW
箪,TUJF
箫,TVIJ
箨,TRCH
箩,TLQU
箯,TWGQ
箬,TADK
箭,TUEJ
砧,DHKG
隻 雙,|||||
乃,ETN
鼋,FQKN
繰,XKKS
砑,DAHT
詣,YXJG
魁,RQCF
憞,NYBT
魃,RQCC
憜,NBDE
魅,RQCI
憚,NKKF
魇,DDRC
魉,RQCW
魈,RQCE
憔,NWYO
魍,RQCN
憒,NKHM
憑,UCNU
憐,NOQH
魑,RQCC
憎,NULJ
憍,NTDK
憋,UMIN
魔,YSSC
憇,TDAN
魘,DJEC
憃,DWVN
憂,|||||
魟,QOAG
憾,NDGN
憺,NQDY
憹,NMAE
憷,NSSH
憶,|||||
魬,QORC
魯,QOJF
魮,QOXX
憯,NAQJ
憬,NJYI
憫,NUYY
魴,QOYN
魷,QODN
憨,NBTN
憧,NUJF
憤,NFAM
魿,QOWC
繒,XULJ
鈞,QQUG
垂,TGAF
鈐,QWYN
鈑,QRCY
鈔,QITT
鈕,QNFG
鈈,QGIY
鈉,QMWY
鈎,QQCY
鈍,|||||
鈀,QCN
鈁,QYN
鈆,QWCY
鈄,QUFH
鈺,QGYY
鈸,QDCY
鈹,QHCY
鈾,QMG
鈿,|||||
媽,VCY
鈳,QSKG
鈷,QDG
鈴,QWYC
鈮,QNXN
鈣,QGHN
鈡,QKHH
鈦,QDYY
鈧,QYMN
鈥,QOY
讁,YUMP
讀,YFLM
變,XYXT
讌,YAUO
讎,WYYY
讐,WYWY
讓,YYKE
讒,YQKY
讕,YUGI
讛,YAFC
讜,YIPO
讞,YHAD
垅,FDXN
讣,YHY
订,YSH
讥,YMN
认,YWY
讧,YAG
讦,YFH
让,YHG
讨,YFY
讫,YTNN
讪,YMH
训,YKH
讯,YNFH
议,YYQY
讱,YVYY
记,YNN
讳,YFNH
讲,YFJH
讵,YANG
讴,YAQY
讷,YMWY
讶,YAHT
讹,YWXN
许,YTFH
讻,YQBH
论,YWXN
讽,YMQY
讼,YWCY
访,YYN
设,YMCY
屙,NBSK
屜,NTAN
屟,NANS
属,NTKY
屑,NIED
屐,NTFC
展,NAEI
屉,NANV
屈,NBMK
屋,NGCF
窝,PWKW
屌,NKMH
屏,NUAK
屎,NOI
屁,NXXV
局,NNKD
层,NFCI
居,NDD
屄,NPWI
屹,MTNN
屺,MNN
屿,MGNG
山,MMMM
屨,NTKV
屬,NILJ
屯,GBNV
屡,NOVD
屠,NFTJ
屣,NTHH
履,NTTT
層,NULJ
屦,NTOV
獫,QTWW
獪,QTWJ
獨,QTLJ
獯,QTTO
獭,QTGM
獬,QTQH
獠,QTDI
獧,QTLE
獻,HAGD
獺,QTGM
獸,|||||
獿,QTDT
獾,QTAY
獼,QTXQ
獲,QTAC
獰,|||||
獷,QTYW
獵,QTVN
獴,QTAE
獎,NHDD
獍,QTUQ
獃,MGKD
獁,QTCY
獆,QTRF
獅,|||||
獄,QTYD
獚,QTAW
獒,GQTD
獐,QTUJ
獗,QTDW
唳,|||||
唰,KNMJ
唱,KJJG
唷,KYCE
唵,KDJN
唾,KTGF
唿,KQRN
唼,KUVG
唢,KIMY
唣,KRAN
唠,KAPL
唧,KVCB
唤,KQMD
唪,KDWH
唫,KQG
售,WYKF
唯,KWYG
唬,KHAM
唓,KLH
唐,YVHK
唑,KWWF
磁,DUXX
斂,WGKT
唚,KVPC
唛,KGTY
唘,DCKF
唁,KYG
唆,KCWT
唇,DFEK
唄,KMY
唉,KCTD
唏,KQDH
絃,XYXY
終,XTUY
絀,XBMH
絆,XUFH
組,XEGG
絏,XJXT
絎,XTFH
結,XFKG
絛,WHTI
絞,XUQY
絝,XDFN
絜,DHVI
絣,XUAH
絢,XQJG
給,|||||
絨,XADT
絮,VKXI
絳,XTAH
絲,XXIY
統,XYCQ
絷,RVYI
絶,XQCN
絵,XWFC
絺,XQDH
絹,XKEG
絸,XHQN
磅,DUPY
蔚,ANFF
闝,UMTI
櫈,SWGM
櫂,SNWY
櫃,SAKM
櫛,STVB
櫝,SFLM
櫞,SXXE
櫟,SXRS
櫓,SQOJ
櫨,SHAL
櫪,SDTH
櫬,SUSQ
櫧,SYFJ
櫸,SWFH
櫺,SFKK
櫻,SMMV
櫱,BTWS
櫳,SUED
苛,ASKF
苘,AMKF
苙,AUF
苞,AQNB
苟,AQKF
苜,AHF
苒,|||||
苓,AWYC
苑,AQBB
苗,ALF
苔,ACKF
苕,AVKF
苊,ADBB
苋,AMQB
苈,ADLB
苎,APGF
苏,ALWU
苌,ATAY
苍,AWBB
苁,AWWU
苇,AFNH
苄,AYHU
苻,AWFU
苹,AGUH
苾,ANTR
苽,ARCY
苳,ATUU
英,AMDU
苷,AAFF
苴,AEGF
苫,AHKF
苨,ANXB
苯,ASGF
苣,AANF
苠,ANAB
苡,|||||
苦,ADF
苧,APSJ
苤,AGIG
若,|||||
愠,NJLG
愣,NLYN
飈,MTJO
飏,MQNR
愤,NFAM
愧,NRQC
愦,NKHM
飃,MTJI
愨,FPGN
愫,NGXI
愬,UBTN
飄,SFIJ
飛,NUTH
飚,MQOO
飙,DDDQ
飘,SFIQ
食,WYVE
飞,NUI
愷,|||||
飜,TOLH
飓,MQHW
飒,UMQY
飑,MQQN
飕,MQVC
愾,NRNO
愁,TONU
飪,WYVF
飩,WYVN
飨,XTWE
飯,WYVC
飮,WYVW
飭,WYVL
愆,TIFN
愉,NWGJ
飢,WYVM
愊,NGKL
飧,QWYE
意,UJNU
愎,NTJT
愓,NJGR
愒,NJQN
愕,NKKN
