團,LGJF
飾,WYVH
飽,WYVN
飼,WYVK
愙,PTKN
飲,WYVW
飱,GQWE
愚,JMHN
愜,NADW
感,DGKN
飴,|||||
嬋,VKKF
嬈,VFFQ
嬉,VFKK
嬌,VTDK
嬀,VETO
嬅,VAGF
嬛,VLGE
拦,RUFG
嬖,NKUV
嬗,VYLG
嬪,VPGM
嬭,VGWQ
嬡,VEPT
嬤,VYSX
嬸,VPTL
嬾,VGKM
嬿,VAUO
嬲,LLVL
嬰,MMVF
嬴,YNKY
稔,TWYN
稖,TUKG
稗,TRTF
稞,TJSY
淯,IYCE
稚,TWYG
稀,TQDH
稂,TYVE
稃,TEBG
稍,|||||
税,TUKQ
稈,TJFH
稉,TGJQ
程,TKGG
稷,TLWT
驿,CCFH
稱,TEMF
稲,TEHJ
稳,TQVN
稼,TPEY
稽,TDNJ
稾,YMKT
稿,TYMK
稹,TFHW
稺,TNUH
稻,TEVG
稠,TMFK
稣,QGTY
稬,TDMD
稭,TXXR
種,|||||
稨,TYNA
口,KKKK
叢,OGUC
叡,HPGC
叠,CCCG
另,|||||
句,QKD
古,DGHG
叫,KNHH
只,KWU
叩,KBH
叨,KVN
可,SKD
样,SUDH
叭,KWY
召,VKF
右,DKF
史,|||||
叱,KXN
台,CKF
号,|||||
叶,KFH
叻,KLN
叹,KCY
司,NGKD
叽,KMN
叼,KNGG
參,CCCE
参,CDER
叁,CDDF
叀,GJHC
叆,FCEC
友,DCU
及,EYI
叉,CYI
栲,SFTN
収,NHCY
反,RCI
双,CCY
从,WWY
发,NTCY
受,EPCU
取,BCY
叔,HICY
叛,UDRC
叚,NHFC
叙,WTCY
变,YOCU
叟,VHCU
班,GYTG
珮,GMGH
珩,GTFH
珪,GFFG
珥,GBG
根,SVEY
珧,GIQN
珠,GRIY
珣,GQJG
介,WJJ
珽,GTFP
現,GHQN
珹,GDNT
珺,GVTK
珵,|||||
珷,GGAH
珶,GUXT
珰,GIVG
珲,GPLH
珍,GWET
珌,GNTT
珏,GGYY
珎,GQIY
珉,GNAN
珈,GLKG
珊,GMMG
珅,GJHH
珇,GEGG
珀,GRG
珂,GSKG
珝,GNG
珞,GTKG
珙,GAWY
珕,GLLL
珑,|||||
珐,GFCY
栢,SDJG
仙,WMH
鍔,QKKN
栗,SSU
以,NYWY
栒,SQJG
持,RFFY
栟,SUAH
件,WRHH
栄,IPSU
仵,WTFH
仲,WKHH
栀,SRGB
栌,SHNT
份,WWVN
栈,SGT
鎞,QTLX
鎘,QGKH
鎚,QWNP
鎔,QPWK
鎕,QYVK
鎖,QIMY
鎗,QWYK
鎒,QDFF
鎌,QUVO
鎏,IYCQ
鎊,QUPY
鎋,QPDK
鎄,QYEY
鎇,QNHG
鎂,QUGD
鎿,QWGR
鎸,QWYE
鎻,QVMY
鎵,QPEY
鎰,QUWL
鎳,QTHS
鎬,QYMK
鎮,QFHW
鎩,QQSC
鎪,QVHC
鎦,QQYL
鎧,QMGU
鎣,OOPQ
蠊,JYUO
蠏,JQEH
蠍,JJQW
蠃,YNKY
蠆,AJMJ
蠅,JMGV
蠛,JALT
蠙,JPGM
蠟,JVLN
蠜,SQQJ
蠓,JAPE
蠒,GWMJ
蠑,JOOS
蠐,JYVF
蠖,JAWC
蠕,JFDJ
蠔,JYPE
蠮,JATN
蠣,JDAY
蠢,DWJJ
蠡,XEJJ
蠧,FPDJ
蠻,XYXJ
蠹,GKHJ
蠾,JNIJ
蠼,JHHC
蠲,UWLJ
蠱,JJJL
蠶,AQAJ
蠵,JMWK
橐,GKHS
旭,VJD
橛,SDUW
橘,SCBK
橙,SWGU
機,SXXT
橜,DUBS
橇,STFN
橄,SNBT
橋,STDK
橈,SFFQ
鼓,FKUC
橱,SDGF
橹,SQGJ
橿,SGLG
橼,SXXE
橡,SQJE
橦,SUJF
橥,QTFS
佛,WXJH
荜,AXXF
荞,ATDJ
荟,AWFC
荙,ADPU
荚,AGUW
荛,AATQ
荔,ALLL
荐,ADHB
荑,AGXW
荒,AYNQ
荏,AWTF
荈,|||||
草,AJJ
荆,AGAJ
荇,ATFH
荀,AQJF
諷,YMTJ
荃,|||||
荼,AWTU
荽,AEVF
荸,AFPB
荻,AQTO
荴,ARFW
荵,AVYN
荷,AWSK
荬,ANUD
荭,AXAF
荮,AXFU
药,AXQY
荨,AVFU
荩,ANYU
荪,ABIU
荫,ABEF
荤,APLJ
荥,APIU
荦,APRH
荧,APOU
荠,AYJJ
荡,AINR
荣,APSU
咴,KDOY
咵,KDFN
咱,KTHG
咲,KUDY
咳,KYNW
咽,|||||
咿,KWVT
咸,DGKT
咻,KWSY
咤,KPTA
鼎,HNDN
咦,KGXW
咧,KGQJ
咢,KKFN
咣,KIQN
咬,KUQY
咭,KFKG
咯,KTKG
咨,UQWK
咩,KUDH
咪,KOY
咫,NYKW
咔,KHHY
咕,KDG
咖,KLKG
旷,JYT
咐,KWFY
咒,KKMB
咝,KXXG
咙,KDXN
咚,KTUY
咛,KPSH
咄,KBMH
咆,KQNN
咀,KEGG
咂,KAMH
和,TKG
咎,THKF
咏,KYNI
咊,KTY
咋,KTHF
緇,XVLG
驾,LKCF
鼴,VNUV
緋,XDJD
緊,AHNI
緔,XIMK
緗,XSHG
捕,RGEY
緑,XVIY
緒,XFTJ
緝,XKBG
緜,RMHI
緞,XWDC
緙,XAFH
緛,XDMD
線,XRIY
緥,XWKS
緦,XLNY
緡,XNAJ
締,XUPH
緣,XXEY
緬,XDMD
緯,XNHH
緩,XEFC
編,XYNA
練,XGLI
緶,XWGQ
緱,|||||
緲,XHIT
緼,XJLG
緹,XJGH
媍,VQMY
鼻,THLJ
媞,VJGH
媚,VNHG
媛,VEFC
媕,VWGA
鼹,VNUV
媒,VAFS
媯,VYTO
媪,VJLG
媧,VMNK
磉,DCCS
媾,VFJF
媸,VBHJ
媵,EUDV
磋,DUDA
媲,VTLX
媳,VTHN
窟,PWNM
窜,PWKH
骻,MEDN
窛,PWFV
窘,PWVK
窖,PWTK
窗,PWTQ
窕,PWIQ
窒,PWGF
窓,PWCN
窑,PWRM
窌,PWQB
窍,PWAN
窈,PWXL
窆,PWTP
窄,PWTF
窃,PWAV
窀,PWGN
突,PWDU
窿,PWBG
窺,|||||
窻,PWTN
磐,TEMD
窶,PWKV
窳,PWRY
窰,PWEM
窮,PWTX
窯,PWUO
窬,PWWJ
窭,PWOV
窨,PWUJ
窩,PWMK
窦,PWFD
骤,CBCI
窥,PWFQ
窣,PWYF
窠,PWJS
磔,DQAS
磖,DNRG
骨,MEF
撲,ROGY
捍,|||||
磣,DCCE
磧,DGMY
額,PTKM
諡,|||||
磬,FNMD
抨,RGUH
磯,DXXT
骅,CWXF
抠,RAQY
磷,DOQH
磻,DTOL
磺,DAMW
磽,DFFQ
抿,RNAN
披,RHCY
題,JGHM
顎,KKFM
顛,FHWM
顋,LNDM
抬,RCKG
抢,RWBN
抡,RWXN
顆,|||||
报,RBCY
护,RYNT
抻,RJHH
抹,RGSY
類,ODDM
顙,CCCM
抽,RMG
押,RLH
顔,UTEM
抱,RQNN
抶,RRWY
顓,MDMM
顬,FDMM
抉,RNWY
顫,YLKM
顥,JYIM
顧,YNWM
技,RFCY
抄,RITT
抛,RVLN
顼,GDMY
顿,GBNM
折,RRH
抟,RFNY
顸,FDMY
须,EDMY
顺,KDMY
页,DMU
顴,AKKM
抑,RQBH
顶,SDMY
抗,RYMN
顰,HIDF
投,RMCY
把,RCN
顯,JXXM
抃,RYHY
沃,ITDY
沂,IRH
沁,INY
顦,WYOM
錢,QAAT
沆,IYMN
沅,IFQN
沄,|||||
錮,QLDG
錯,QAJG
沉,IPMN
沈,IPQN
沏,IAVN
錫,QJQR
錨,|||||
沌,IGBN
沓,IJF
沐,ISY
録,QVIY
錳,QBLG
沔,IGHN
錾,LRQF
沚,IHG
沙,IITT
沘,IXXN
沟,IQCY
錸,|||||
沣,IDHH
顽,FQDM
没,IMCY
沧,IWBN
沦,IWXN
沥,|||||
沤,IAQY
沫,IGSY
沪,IYNT
沩,IYLY
沨,IMQY
沮,IEGG
錈,QUDB
鸨,XFQG
河,ISKG
沲,ITBN
沱,IPXN
錕,|||||
錒,|||||
錐,QWYG
治,ICKG
錟,QOOY
油,IMG
沸,IXJH
沿,IMKG
錛,QDFA
錘,QTGF
錙,QVLG
袍,PUQN
袈,LKYE
袋,WAYE
袅,QYNE
袄,PUTD
袆,PUFH
袁,FKEU
袂,PUNW
抓,RRHY
袟,PURW
袛,PUQY
抒,RCBH
袖,PUMG
顷,XDMY
袒,PUJG
袭,DXYE
袯,PUNY
被,PUHC
袪,PUFC
顱,HALM
袠,YRWE
袢,PUUF
袼,PUTK
顳,BBBM
袵,PUWF
袴,PUDN
袷,PUWK
袱,PUWD
卤,HLQI
卧,AHNH
卦,FFHY
卡,HHU
占,HKF
卣,HLNF
卢,HNE
卬,QBH
卯,QTBH
卮,RGBV
卫,BGD
卵,QYTY
却,FCBH
卷,UDBB
危,QDBB
印,QGBH
即,VCBH
卲,VKBH
卿,QTVB
卹,TLBH
卸,RHBH
卺,BIGB
卅,GKK
升,TAK
十,FGH
區,|||||
千,TFK
协,FLWY
华,WXFJ
卉,FAJ
午,TFJ
卋,FAF
半,UFK
单,UJFJ
協,FLLL
南,FMUF
卖,FNUD
卑,RTFJ
卓,HJJ
卒,|||||
卜,HHY
卟,KHY
卞,YHU
博,FGEF
牵,DPRH
牴,TRQY
牲,TRTG
牿,TRTK
牾,TRGK
牽,YXPH
牻,TRDE
牺,TRSG
特,TRFF
牧,TRTY
牦,TRTN
镗,QIPF
牢,PRHJ
牡,TRFG
牯,TRDG
牮,WARH
物,TRQR
牖,THGY
牒,THGS
牟,CRHJ
牝,TRXN
牛,RHK
牚,IPKT
牙,AHTE
牘,THGM
片,THGN
牀,NHDS
牎,THGN
牍,THGD
牌,THGF
牋,THGA
版,THGC
吾,GKF
吼,KBNN
吻,KQRT
吸,KEYY
吹,KQWY
吴,KGDU
吵,KITT
吲,KXHH
許,YTFH
吱,KFCY
吮,KCQN
启,YNKD
听,KRH
吭,KYMN
含,WYNK
吨,|||||
吩,KWVN
否,GIKF
吧,KCN
吥,KGIY
吢,NKF
吣,KNY
吠,KDY
吡,KXXN
吞,GDKF
吟,KWYN
吝,YKF
吚,KVTT
君,VTKD
吖,KUHH
吗,KCG
訴,YRYY
吒,KTAN
吓,KGHY
吐,KFG
向,TMKD
后,RGKD
吏,GKQI
同,MGKD
名,QKF
吊,KMHJ
合,WGKF
吉,FKF
吆,KXY
各,TKF
吃,KTNN
吁,KGFH
籍,TDIJ
籌,TFNF
籃,TAHL
籁,|||||
籀,TRQL
籟,TGKM
籜,|||||
証,YGHG
籮,TLXY
籬,TYBY
籪,|||||
籩,TTHP
籠,TUED
籽,OBG
籼,OMH
类,ODU
籴,TYOU
米,OYTY
擧,WFGR
訥,YMWY
訒,YVYY
泌,INTT
訕,YMH
醫,ATDG
訛,YWXN
訚,UYD
錦,QRMH
閨,UFFD
訃,YHY
錠,QPGH
錡,QDSK
諍,YQVH
沍,IGXG
訊,YNFH
閿,UEPC
討,YFY
閻,UQVD
比,XXN
毕,XXFJ
毖,XXNT
毗,LXXN
毐,FXDR
毒,GXGU
毓,TXGQ
錱,QGGF
毙,XXGX
毛,TFNV
沛,IGMH
毆,AKKC
毁,VAMC
毂,FPLC
母,XGUI
每,TXGU
毉,ATDW
毋,XDE
毵,CDEN
泓,IXCY
毳,TFNN
輪,LWGA
毿,CCCN
毹,WGEN
毧,TFND
毡,TFNK
毬,TFNY
毯,TFNO
毪,TFNH
毫,YPTN
菧,AYQY
菥,ASRJ
菢,ARQN
菠,AIHC
沢,INYY
華,AGAF
菪,APDF
菫,AGKG
菩,AUKF
菶,ADWH
菴,ADJN
菵,AMUN
菲,ADJD
菰,ABRY
菱,AFWT
菾,AGDN
菽,AHIC
菸,|||||
菹,AIEG
菇,AVDF
菅,APNN
菀,APQB
菁,AGEF
菏,AISK
菌,ALTU
錁,QJSY
菊,AQOU
菖,AJJF
菔,AEBC
菑,AVLF
菟,AQKY
菜,AESU
菝,ARDC
菘,ASWC
菙,ATGF
戬,GOGA
駕,|||||
駔,CEGG
戩,GCCA
駒,|||||
駑,VCCU
駐,CYGG
駟,CLG
戤,ECLA
駝,CPXN
駜,CNTT
戡,ADWA
駙,CWFY
戢,KBNT
戽,YNUF
房,YNYV
戾,YNDI
戹,YNNV
沭,ISYY
駁,CQQY
戴,FALW
户,YNE
戰,KKJA
戳,NWYA
駈,|||||
戍,DYNT
戌,DGNT
戏,|||||
戎,ADE
戈,AGNT
戋,GGGT
戊,DNYT
戅,UJAN
戆,UJTN
戀,XYXN
戟,FJAT
戞,DEPA
駢,CUAH
駡,KKCU
戚,DHIT
戕,NHDA
戔,AAR
駭,CYNW
或,AKGD
我,TRNT
成,DNNT
戒,AAK
錞,QYBG
催,WMWY
錚,QQVH
沾,IHKG
傭,WYVH
沽,IDG
沼,IVKG
娖,VKHY
娓,VNTN
娑,IITV
娟,VKEG
娜,VVFB
娘,|||||
娆,VATQ
娇,VTDJ
娄,OVF
娅,VGOG
娃,VFFG
娀,VADT
威,DGVT
娌,VJFG
娈,YOVF
娉,VMGN
娶,BCVF
娴,VUSY
娲,VKMW
娱,VKGD
娼,VJJG
娥,VTRT
娣,VUXT
娠,VDFE
娬,VGAH
娭,VCTD
娩,VQKQ
産,UTTG
甥,TGLL
甦,GJQG
用,ETNH
甩,ENV
甪,TEK
甫,GEHY
甬,CEJ
甭,GIEJ
甯,|||||
田,LLLL
由,MHNG
甲,LHNH
申,JHK
甴,JHK
电,JNV
男,LLB
甸,QLD
町,LSH
画,|||||
甾,|||||
甄,SFGN
甆,UXXN
袜,PUGS
甌,AKKN
甍,ALPN
甎,GJHN
甏,|||||
甑,ULJN
甕,YXTN
甖,MMGN
甘,AFD
甙,AAFD
甚,ADWN
甛,AFTD
甜,TDAF
生,TGD
勦,VJSL
勤,AKGL
勢,FWFL
勡,SFIL
勿,QRE
勾,QCI
勺,QYI
勹,QTN
勸,AKKL
勵,DAJL
勲,TGJO
勱,AJML
勰,LLLN
勍,YILN
勌,UDBL
勋,KMLN
勉,QKQL
勇,CELB
勅,GKIL
勃,FPBL
勁,GVAL
募,|||||
勞,OOPL
勝,EUDL
勛,|||||
務,CBTL
勘,ADWL
勗,JEGL
勖,JHLN
動,TGJL
勒,AFLN
勐,BLLN
狹,QTDW
狸,QTJF
狻,QTCT
狺,QTYG
狽,QTMY
狼,QTYE
狱,QTYD
狰,QTQH
狳,QTWT
狲,QTBI
狴,QTXF
狷,QTKE
岱,WAMJ
狩,QTPF
狨,QTAD
狭,QTGW
独,QTJY
狯,QTWC
狮,QTJH
狡,QTUQ
狠,QTVE
狙,QTEG
蛑,JCRH
狝,QTQI
狞,QTPS
狐,QTRY
狒,QTXJ
狗,QTQK
狈,QTMY
狍,QTQN
狎,QTLH
狁,QTCQ
狀,|||||
狃,QTNF
狂,QTGG
狄,QTOY
锚,QALG
鲜,QGUD
饃,WYVD
傼,WAKW
泪,IHG
氅,IMKN
邪,AHTB
氆,TFNJ
邬,QNGB
邮,MBH
氂,FITN
氍,HHWN
邡,YBH
邢,GABH
那,VFBH
邤,RBH
氈,YLKN
邦,DTBH
氊,TFNG
邸,QAYB
邹,QVBH
邺,OGBH
氖,RNEB
民,NAV
氐,QAYI
氓,YNNA
邿,FFBH
邰,CKBH
邱,RGBH
邲,NTBH
邳,|||||
氙,RNMJ
邵,VKBH
邶,UXBH
氚,RNKJ
邈,EERP
氤,RNLD
邊,THPP
邋,VLQP
氡,RNTU
氣,RNOU
邏,LXWP
邀,RYTP
氬,RNGG
邂,QEVP
邃,PWUP
氩,RNGG
氨,RNPV
氫,RNGA
邇,GWMP
邘,GFBH
水,IIII
氷,YII
邛,ABH
氰,RNGE
邟,YMBH
氽,WIU
邓,CBH
氹,NII
永,YNII
邗,FBH
褔,PUGL
褓,PUWS
褒,YWKE
褐,PUJN
褛,PUOV
褚,PUFJ
褙,PUUE
褃,PUHE
褂,PUFH
褊,PUYA
褶,PUNR
褵,PUYC
褴,PUJL
褳,PULP
褲,PUYL
褰,PFJE
褾,PUSI
褻,YFWE
褥,PUDF
褡,PUAK
褫,PURM
褪,PUVP
嗪,KDWT
歟,WFGW
麂,YNJM
麃,YNJO
歛,WGKW
麇,YNJT
麈,YNJG
麋,YNJO
麐,YNJK
麒,YNJW
麓,SSYX
麕,YNJT
麗,GMYX
歆,UJQW
歇,JQWW
歂,MDMW
麝,YNJF
麞,YNJJ
麟,YNJH
歼,GQTF
麤,YNJX
死,GQXB
麦,GTU
歹,GQI
麨,SWWT
麩,SWWW
歴,DSSH
歲,HDGT
歳,HDGT
麯,SWWA
麴,FWWO
歩,HITR
麸,GQFW
歧,HFCY
此,HXN
步,HIR
止,HHHG
正,GHD
麾,YSSN
歡,|||||
聩,BKHM
聪,BUKN
聯,BXXG
聤,BYPS
聹,BPNS
聽,BGFN
聾,UEGB
聿,VFHK
聰,BTLN
聱,GQTB
聲,FNMB
聳,TWWB
聵,BKHM
聶,BBBF
職,BUAJ
聊,BQTB
聋,DXBF
职,BKWY
聍,BPSH
聂,BCCU
聃,BMFG
聆,BWYC
聘,BMGN
聚,BCTI
聞,UBD
聒,BTDG
联,BUDY
聖,BKGF
侏,WRIY
糒,OATE
糕,OUGO
糗,OTHD
糖,|||||
糙,OTFP
糝,OCCE
糜,YSSO
糟,OGMJ
糞,OLAW
糁,OCDE
糂,OADN
糅,OCBS
糇,OWND
糉,OQBT
糈,ONHE
糊,ODEG
糍,OUXX
糌,OTHJ
糲,ODAY
糵,AWNO
糴,TYOY
糶,BMOY
糸,XIU
系,TXIU
糺,XNN
糾,XNHH
糡,OUJQ
糠,OYVI
糢,OAJD
糧,OJGF
糨,OXKJ
糯,OFDJ
妘,VFCY
妙,VITT
妜,VNWY
妝,NHDV
妞,VNFG
妐,VWCY
妑,VCN
妒,VYNT
妓,VFCY
妖,VTDY
妗,VWYN
妈,VCG
妊,VTFG
妍,VGAH
妁,VQYY
如,VKG
妃,VNN
妄,YNVF
妆,UVG
妇,VVG
妸,|||||
妹,VFIY
妻,GVHV
妾,UVF
妲,VJGG
妳,VQIY
妷,VRWY
妨,VYN
妩,VFQN
妪,VAQY
妫,VYLY
妬,VDG
妮,VNXN
妯,VMG
妣,VXXN
妤,VCBH
妥,EVF
疫,UMCI
疮,UWBV
疯,UMQI
疬,UDLV
疭,UWWI
疢,UOI
疣,UDNV
疠,UDNV
疡,UNRE
疤,UCV
疥,UWJK
疸,UJGD
疹,UWEE
疾,UTDI
疼,UTUI
疽,UEGD
疲,UHCI
疳,UAFD
疰,|||||
疱,UQNV
疴,USKD
疵,UHXV
疊,LLLG
疋,NHI
疎,NHGI
疏,NHYQ
疃,LUJF
疆,XFGG
疇,LFNF
疚,UQYI
疘,UAD
疙,UTNV
疟,UAGD
疝,UMK
疒,UYGG
疑,XTDH
疖,UBK
疗,UBK
疔,USK
疕,UXV
锡,QJQR
昉,JYN
跷,KHAQ
掷,RUDB
掴,RLGY
掳,RHAL
饟,WYVE
饞,WYVY
饑,WYVT
饒,WYVQ
饕,KGNE
掺,RCDE
饗,XTYE
掸,RUJF
饉,WYVG
饈,WYVF
饋,WYVM
饊,WYVT
饍,WYVK
探,RPWS
採,|||||
掠,RYIY
掮,RYNE
掭,RGDN
掬,RQOY
饅,WYVC
措,RAJG
掩,RDJN
推,RWYG
掖,RYWY
饺,QNUQ
饽,QNFB
饼,QNUA
饿,QNTT
掐,RQVG
饱,QNQN
饰,QNTH
饲,QNNK
掛,RFFH
饴,QNCK
饷,QNTK
掘,RNBM
饩,QNRN
饨,QNGN
饫,QNTD
掄,RWGA
掃,RVPH
饬,QNTL
饯,QNGT
掀,RRQW
掏,RQRM
掎,RDSK
掌,IPKR
饥,QNMN
饤,QNSH
掉,RHJH
授,REPC
蹀,KHAS
蹁,KHYA
蹂,KHCS
蹄,KHUH
蹅,KHSG
蹇,|||||
蹈,KHEV
蹉,KHUA
蹊,KHED
蹋,KHJN
蹌,|||||
蹏,KHRM
蹑,KHBC
蹒,KHAW
蹕,KHJF
蹙,DHIH
蹟,KHGM
蹠,KHYO
蹣,KHAY
蹤,KHTH
蹦,KHME
蹩,UMIH
蹬,|||||
蹭,KHUJ
蹯,KHTL
蹰,KHDF
邠,WVBH
蹴,KHYN
蹵,YIDH
蹶,KHDW
蹷,DUBH
蹺,KHFQ
蹻,KHTK
蹼,KHOY
蹿,KHPH
進,WYPD
涎,ITHP
涌,ICEH
逶,TVPD
逷,JQRP
涉,IHIT
消,IIEG
涇,IGVA
逻,LQPI
涅,IJFG
逾,WGEP
涂,IWTY
逼,GKLP
涟,ILPY
連,LPK
造,TFKP
逡,CWTP
涛,IDTF
涙,IYND
涖,IWUG
涕,IUXT
涔,IMWN
逮,VIPI
逯,VIPI
涑,IGKI
逭,PNHP
涯,IDFF
涮,INMJ
逐,EPI
逑,FIYP
涫,IPNN
逗,GKUP
途,WTPI
涨,IXTY
涧,IUJG
逛,QTGP
涤,ITSY
涣,IQMD
速,GKIP
涡,IKMW
涠,ILFH
涿,IEYY
逃,IQPV
退,VEPI
送,UDPI
逆,UBTP
逄,TAHP
逅,RGKP
涷,IGJI
逋,GEHP
逈,TMKP
选,TFQP
逎,SGPD
液,IYWY
逍,IEPD
覘,HKHQ
覓,EHQB
瘉,UWGJ
覔,GIHQ
視,PYHQ
見,HQB
覍,IHQB
規,FWHQ
要,SVF
覃,SJJ
覆,STTT
覻,HAGQ
覺,WFQQ
覽,AHNQ
覿,FLMQ
覲,AKGQ
覷,HAOQ
覩,FTJQ
親,USHQ
覬,MGKQ
覯,FJGQ
覡,AWWQ
覦,WGEQ
割,PDHJ
創,WYVJ
剴,MGKJ
剹,NWEJ
剸,GJHJ
剻,MEEJ
剽,SFIJ
剿,VJSJ
剡,OOJH
剠,YIJH
剥,|||||
剧,NDJH
剩,TUXJ
剪,UEJV
副,GKLJ
剮,MNMJ
剑,WGIJ
剐,KMWJ
剔,JQRJ
剗,AAJH
剖,UKJH
剛,MUMJ
剜,PQBJ
剞,DSKJ
剁,|||||
剀,MNJH
剃,UXHJ
桉,SPVG
剄,GVAJ
則,MJH
剋,DQJK
削,IEJH
前,UEJJ
剌,GKIJ
桅,SQDB
钿,QLG
罚,LYJJ
罘,LGIU
罟,LDF
罜,LYGF
网,MQQI
罐,RMAY
罗,LQU
罕,PWFJ
罔,MUYN
罋,YXTM
罌,|||||
罂,MMRM
罇,RMUF
罅,RMHH
罄,FNMM
罹,LNWY
罸,LYFU
罾,LULJ
署,LFTJ
罱,LFMF
罰,LYJJ
罷,LCEX
罵,LCU
罴,LFCO
罪,LDJD
罩,LHJJ
罨,LDJN
置,LFHF
罣,LFFF
罢,LFCU
罡,LGHF
邾,RIBH
鳞,QGOH
收,NHTY
鳓,QGAL
攻,ATY
攽,WVTY
政,GHTY
放,YTY
鳋,QGCJ
攣,XYXR
鳏,QGLI
攤,RAKY
攩,RIPO
馅,|||||
鳆,QGTT
鳅,QGTO
攮,RGKE
檬,SAPE
鳳,MDHO
擠,RYVF
擡,RFKF
擢,RNWY
擣,RFNF
擤,RTHJ
擥,AHNR
擦,RPWI
碇,DPGH
鸃,WVGT
擯,RPGM
擰,RPNS
鸛,AKKO
擲,RUSB
擴,RYAW
鸟,QYNG
鸜,HHWO
擷,|||||
鸐,NWYO
擻,RKGT
擼,RQOJ
擾,RDET
